n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-248,-5,-248,5,248.05039810490126,-6.423593390536553e-8,-3.186102191854445e-6,0.000012716339248435921,-248.00000006423593,4.999996813897808,2.31
-5,248,5,248,248.05039810490126,-3.1861021927426236e-6,6.42359054836561e-8,0.000012716339248435921,4.999996813897807,248.0000000642359,2.31
5,-248,-5,-248,248.05039810490126,3.1861021927426236e-6,-6.42359054836561e-8,0.000012716339248435921,-4.999996813897807,-248.0000000642359,2.31
248,5,248,-5,248.05039810490126,6.423593390536553e-8,3.186102191854445e-6,0.000012716339248435921,248.00000006423593,-4.999996813897808,2.31
-253,243,-243,253,350.7962371519968,-3.2503381248716323e-6,-3.1218662854826107e-6,0.000017983619464038296,-243.00000325033812,252.99999687813371,2.31
-243,-253,-253,-243,350.7962371519968,3.1218662854826107e-6,-3.250338096449923e-6,0.000017983619464038296,-252.99999687813371,-243.0000032503381,2.31
243,253,253,243,350.7962371519968,-3.1218662854826107e-6,3.250338096449923e-6,0.000017983619464038296,252.99999687813371,243.0000032503381,2.31
253,-243,243,-253,350.7962371519968,3.2503381248716323e-6,3.1218662854826107e-6,0.000017983619464038296,243.00000325033812,-252.99999687813371,2.31
-496,-10,-496,10,496.1007962098025,-1.2847186781073106e-7,-6.37220438370889e-6,0.000025432678496871842,-496.00000012847187,9.999993627795616,2.31
-10,496,10,496,496.1007962098025,-6.372204385485247e-6,1.284718109673122e-7,0.000025432678496871842,9.999993627795615,496.0000001284718,2.31
10,-496,-10,-496,496.1007962098025,6.372204385485247e-6,-1.284718109673122e-7,0.000025432678496871842,-9.999993627795615,-496.0000001284718,2.31
496,10,496,-10,496.1007962098025,1.2847186781073106e-7,6.37220438370889e-6,0.000025432678496871842,496.00000012847187,-9.999993627795616,2.31
-491,-258,-501,-238,554.6575520084442,3.057630351577245e-6,-6.436440230572771e-6,0.000028434598891652215,-500.99999694236965,-238.00000643644023,2.31
-258,491,-238,501,554.6575520084442,-6.43644028741619e-6,-3.057630408420664e-6,0.000028434598891652215,-238.0000064364403,500.9999969423696,2.31
