n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-389,-148,-51,-8,51.62363799656123,1.54060233370501e-6,-9.821333707193958e-6,0.0003198303989594715,-50.999998459397666,-8.000009821333707,4.79
-148,389,-8,51,51.62363799656123,-9.821333710746671e-6,-1.5406023408104375e-6,0.00031983039904032455,-8.00000982133371,50.99999845939766,4.79
148,-389,8,-51,51.62363799656123,9.821333710746671e-6,1.5406023408104375e-6,0.00031983039904032455,8.00000982133371,-50.99999845939766,4.79
389,148,51,8,51.62363799656123,-1.54060233370501e-6,9.821333707193958e-6,0.0003198303989594715,50.999998459397666,8.000009821333707,4.79
-22,19,-2,3,3.605551275463989,8.783365632147877e-6,5.85555851539965e-6,0.0003396110358004494,-1.9999912166343679,3.0000058555585154,8.370000000000001
-19,-22,-3,-2,3.605551275463989,-5.85555851539965e-6,8.783365632147877e-6,0.00033961103578969426,-3.0000058555585154,-1.9999912166343679,8.370000000000001
19,22,3,2,3.605551275463989,5.85555851539965e-6,-8.783365632147877e-6,0.00033961103578969426,3.0000058555585154,1.9999912166343679,8.370000000000001
22,-19,2,-3,3.605551275463989,-8.783365632147877e-6,-5.85555851539965e-6,0.0003396110358004494,1.9999912166343679,-3.0000058555585154,8.370000000000001
-63,-16,-8,1,8.06225774829855,-5.706830279450514e-7,-4.5654748099810405e-6,0.0001480210435532302,-8.000000570683028,0.99999543452519,14.25
-16,63,1,8,8.06225774829855,-4.565474810536152e-6,5.706830279450514e-7,0.00014802104356711308,0.9999954345251895,8.000000570683028,14.25
16,-63,-1,-8,8.06225774829855,4.565474810536152e-6,-5.706830279450514e-7,0.00014802104356711308,-0.9999954345251895,-8.000000570683028,14.25
63,16,8,-1,8.06225774829855,5.706830279450514e-7,4.5654748099810405e-6,0.0001480210435532302,8.000000570683028,-0.99999543452519,14.25
-79,47,-7,9,11.40175425099138,-5.136157837704047e-6,-3.994791780925766e-6,0.00020933336732412855,-7.000005136157838,8.999996005208219,14.25
-47,-79,-9,-7,11.40175425099138,3.994791782702123e-6,-5.136157837704047e-6,0.0002093333672950649,-8.999996005208217,-7.000005136157838,14.25
47,79,9,7,11.40175425099138,-3.994791782702123e-6,5.136157837704047e-6,0.0002093333672950649,8.999996005208217,7.000005136157838,14.25
79,-47,7,-9,11.40175425099138,5.136157837704047e-6,3.994791780925766e-6,0.00020933336732412855,7.000005136157838,-8.999996005208219,14.25
-126,-32,-16,2,16.1245154965971,-1.1413660558901029e-6,-9.130949619962081e-6,0.0002960420871064604,-16.000001141366056,1.99999086905038,14.25
-32,126,2,16,16.1245154965971,-9.130949621072304e-6,1.1413660558901029e-6,0.00029604208713422615,1.999990869050379,16.000001141366056,14.25
32,-126,-2,-16,16.1245154965971,9.130949621072304e-6,-1.1413660558901029e-6,0.00029604208713422615,-1.999990869050379,-16.000001141366056,14.25
126,32,16,-2,16.1245154965971,1.1413660558901029e-6,9.130949619962081e-6,0.0002960420871064604,16.000001141366056,-1.99999086905038,14.25
-142,31,-15,10,18.027756377319946,-5.706840866537277e-6,-8.560266593349297e-6,0.0003309851155011235,-15.000005706840867,9.999991439733407,14.25
-110,-95,-17,-6,18.027756377319946,3.4241087547570714e-6,-9.701632647463043e-6,0.0003309851154639695,-16.999996575891245,-6.0000097016326475,14.25
-95,110,-6,17,18.027756377319946,-9.701632648351222e-6,-3.4241087547570714e-6,0.00033098511550698994,-6.000009701632648,16.999996575891245,14.25
-31,-142,-10,-15,18.027756377319946,8.560266593349297e-6,-5.7068408629845635e-6,0.0003309851154629917,-9.999991439733407,-15.000005706840863,14.25
31,142,10,15,18.027756377319946,-8.560266593349297e-6,5.7068408629845635e-6,0.0003309851154629917,9.999991439733407,15.000005706840863,14.25
95,-110,6,-17,18.027756377319946,9.701632648351222e-6,3.4241087547570714e-6,0.00033098511550698994,6.000009701632648,-16.999996575891245,14.25
110,95,17,6,18.027756377319946,-3.4241087547570714e-6,9.701632647463043e-6,0.0003309851154639695,16.999996575891245,6.0000097016326475,14.25
142,-31,15,-10,18.027756377319946,5.706840866537277e-6,8.560266593349297e-6,0.0003309851155011235,15.000005706840867,-9.999991439733407,14.25
-129,-112,-20,-7,21.18962010041709,1.2114411802599534e-6,-3.4612595545269187e-6,0.000117977228784375,-19.99999878855882,-7.0000034612595545,14.55
-112,129,-7,20,21.18962010041709,-3.4612595545269187e-6,-1.211441183812667e-6,0.00011797722870984207,-7.0000034612595545,19.999998788558816,14.55
112,-129,7,-20,21.18962010041709,3.4612595545269187e-6,1.211441183812667e-6,0.00011797722870984207,7.0000034612595545,-19.999998788558816,14.55
129,112,20,7,21.18962010041709,-1.2114411802599534e-6,3.4612595545269187e-6,0.000117977228784375,19.99999878855882,7.0000034612595545,14.55
-241,17,-27,13,29.966648127543394,-2.2498183689378948e-6,-4.672700734786872e-6,0.0001668449968563003,-27.00000224981837,12.999995327299265,14.55
-17,-241,-13,-27,29.966648127543394,4.672700734786872e-6,-2.2498183724906085e-6,0.00016684499690682676,-12.999995327299265,-27.000002249818372,14.55
17,241,13,27,29.966648127543394,-4.672700734786872e-6,2.2498183724906085e-6,0.00016684499690682676,12.999995327299265,27.000002249818372,14.55
241,-17,27,-13,29.966648127543394,2.2498183689378948e-6,4.672700734786872e-6,0.0001668449968563003,27.00000224981837,-12.999995327299265,14.55
