,degree,n1,n2,n1p,n2p,vec_del,delta_angle,norm,A1,A2
0,22.430000000000067,3,-2,-2,-3,0.047676876619611376,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
1,22.44000000000007,3,-2,-2,-3,0.04516578455815241,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
2,22.45000000000007,3,-2,-2,-3,0.042654692152738,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
3,22.460000000000072,3,-2,-2,-3,0.04014359942248471,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
4,22.470000000000073,3,-2,-2,-3,0.0376325063865258,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
5,22.480000000000075,3,-2,-2,-3,0.03512141306397678,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
6,22.490000000000077,3,-2,-2,-3,0.032610319473960495,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
7,22.500000000000078,3,-2,-2,-3,0.030099225635605176,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
8,22.51000000000008,3,-2,-2,-3,0.02758813156803215,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
9,22.52000000000008,3,-2,-2,-3,0.025077037290361245,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
10,22.530000000000083,3,-2,-2,-3,0.022565942821718626,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
11,22.540000000000084,3,-2,-2,-3,0.020054848181227523,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
