,degree,n1,n2,n1p,n2p,vec_del,delta_angle,norm,A1,A2
0,0.9,1,2,2,1,0.06712687969967408,4.4222048245501355e-10,7.401873784799999,[3.70093689 2.13673691 0.        ],[ 3.70093689 -2.13673691  0.        ]
1,0.92,1,2,2,1,0.06861855643531849,4.4222048245501355e-10,7.401873784799999,[3.70093689 2.13673691 0.        ],[ 3.70093689 -2.13673691  0.        ]
2,0.94,2,1,1,2,0.07011023108072331,4.4222048245501355e-10,7.401873784799999,[ 3.70093689 -2.13673691  0.        ],[3.70093689 2.13673691 0.        ]
3,0.96,2,1,1,2,0.07160190359044749,4.4222048245501355e-10,7.401873784799999,[ 3.70093689 -2.13673691  0.        ],[3.70093689 2.13673691 0.        ]
4,0.98,2,1,1,2,0.07309357391905337,4.4222048245501355e-10,7.401873784799999,[ 3.70093689 -2.13673691  0.        ],[3.70093689 2.13673691 0.        ]
5,1.0,2,1,1,2,0.0745852420211016,4.4222048245501355e-10,7.401873784799999,[ 3.70093689 -2.13673691  0.        ],[3.70093689 2.13673691 0.        ]
6,1.02,1,2,2,1,0.0760769078511529,4.4222048245501355e-10,7.401873784799999,[3.70093689 2.13673691 0.        ],[ 3.70093689 -2.13673691  0.        ]
7,1.04,2,1,1,2,0.07756857136376971,4.4222048245501355e-10,7.401873784799999,[ 3.70093689 -2.13673691  0.        ],[3.70093689 2.13673691 0.        ]
8,1.06,1,2,2,1,0.07906023251351244,4.4222048245501355e-10,7.401873784799999,[3.70093689 2.13673691 0.        ],[ 3.70093689 -2.13673691  0.        ]
9,1.08,2,1,1,2,0.08055189125494319,4.4222048245501355e-10,7.401873784799999,[ 3.70093689 -2.13673691  0.        ],[3.70093689 2.13673691 0.        ]
10,1.9,17,34,34,17,0.07091640180203282,4.4223469330972875e-10,125.83185434159998,[62.91592717 36.32452749  0.        ],[ 62.91592717 -36.32452749   0.        ]
11,1.92,17,34,34,17,0.05262457379444104,4.4223469330972875e-10,125.83185434159998,[62.91592717 36.32452749  0.        ],[ 62.91592717 -36.32452749   0.        ]
