,Theta,Phi,A1,A2,delvec,delang,norm
0,3.48,46.779999999999845,"[1426.2828680272003, 616.9131274050001]","[1247.4040798274, -926.7406091683999]",0.0016718214530635506,5.224799494385479e-06,2691.578526364018
1,3.48,46.779999999999845,"[1426.2828680272003, 616.9131274050001]","[178.87878819980006, 1543.6537365734]",0.0016718214530635506,7.427305206419987e-06,2691.5781832120097
2,3.48,46.779999999999845,"[-1426.2828680272003, -616.9131274050001]","[-1247.4040798274, 926.7406091683999]",0.0016718214530635506,5.224799494385479e-06,2691.578526364018
3,3.48,46.779999999999845,"[-1426.2828680272003, -616.9131274050001]","[-178.87878819980006, -1543.6537365734]",0.0016718214530635506,7.427305206419987e-06,2691.5781832120097
4,3.48,46.779999999999845,"[1247.4040798274, -926.7406091683999]","[1426.2828680272003, 616.9131274050001]",0.0016718269766507424,5.224799494385479e-06,2691.578526364018
5,3.48,46.779999999999845,"[1247.4040798274, -926.7406091683999]","[-178.87878819980006, -1543.6537365734]",0.0016718269766507424,2.202505726245363e-06,2691.5784443929742
6,3.48,46.779999999999845,"[-1247.4040798274, 926.7406091683999]","[-1426.2828680272003, -616.9131274050001]",0.0016718269766507424,5.224799494385479e-06,2691.578526364018
7,3.48,46.779999999999845,"[-1247.4040798274, 926.7406091683999]","[178.87878819980006, 1543.6537365734]",0.0016718269766507424,2.202505726245363e-06,2691.5784443929742
8,3.48,46.779999999999845,"[-178.87878819980006, -1543.6537365734]","[-1426.2828680272003, -616.9131274050001]",0.0019261947137319021,7.427305206419987e-06,2691.5781832120097
9,3.48,46.779999999999845,"[-178.87878819980006, -1543.6537365734]","[1247.4040798274, -926.7406091683999]",0.0019261947137319021,2.202505726245363e-06,2691.5784443929742
10,3.48,46.779999999999845,"[178.87878819980006, 1543.6537365734]","[1426.2828680272003, 616.9131274050001]",0.0019261947137319021,7.427305206419987e-06,2691.5781832120097
11,3.48,46.779999999999845,"[178.87878819980006, 1543.6537365734]","[-1247.4040798274, 926.7406091683999]",0.0019261947137319021,2.202505726245363e-06,2691.5784443929742
12,3.48,63.47999999999979,"[90.23099648280001, 2.7418361218000022]","[47.490008563800004, -76.77141141039999]",0.0015727292218799805,7.615453618825541e-06,156.35681388559988
13,3.48,63.47999999999979,"[90.23099648280001, 2.7418361218000022]","[42.740987919000005, 79.5132475322]",0.0015727292218799805,4.208794955218309e-06,156.35679525584771
14,3.48,63.47999999999979,"[-90.23099648280001, -2.7418361218000022]","[-42.740987919000005, -79.5132475322]",0.0015727292218799805,4.208794955218309e-06,156.35679525584771
15,3.48,63.47999999999979,"[-90.23099648280001, -2.7418361218000022]","[-47.490008563800004, 76.77141141039999]",0.0015727292218799805,7.615453618825541e-06,156.35681388559988
16,3.48,63.47999999999979,"[136.137998165, -21.934688974399997]","[87.0649827196, 106.9316087502]",0.0024037491273088897,1.5462852758219015e-06,238.83895630140591
17,3.48,63.47999999999979,"[136.137998165, -21.934688974399997]","[49.07301544539999, -128.8662977246]",0.0024037491273088897,7.24337900237515e-06,238.83897745548933
18,3.48,63.47999999999979,"[47.490008563800004, -76.77141141039999]","[90.23099648280001, 2.7418361218000022]",0.001591395591529664,7.615453618825541e-06,156.35681388559988
19,3.48,63.47999999999979,"[47.490008563800004, -76.77141141039999]","[-42.740987919000005, -79.5132475322]",0.001591395591529664,3.406658670712659e-06,156.35679651965737
20,3.48,63.47999999999979,"[134.5549912834, 30.160197339800003]","[93.397010246, -101.4479365066]",0.0024037488793905663,6.899606383115042e-06,238.83897662813177
21,3.48,63.47999999999979,"[134.5549912834, 30.160197339800003]","[41.15798103739999, 131.6081338464]",0.0024037488793905663,6.270048245937687e-06,238.83894493272723
22,3.48,63.47999999999979,"[-42.740987919000005, -79.5132475322]","[-90.23099648280001, -2.7418361218000022]",0.0015913952170668781,4.208794955218309e-06,156.35679525584771
23,3.48,63.47999999999979,"[-42.740987919000005, -79.5132475322]","[47.490008563800004, -76.77141141039999]",0.0015913952170668781,3.406658670712659e-06,156.35679651965737
24,3.48,63.47999999999979,"[42.740987919000005, 79.5132475322]","[90.23099648280001, 2.7418361218000022]",0.0015913952170668781,4.208794955218309e-06,156.35679525584771
25,3.48,63.47999999999979,"[42.740987919000005, 79.5132475322]","[-47.490008563800004, 76.77141141039999]",0.0015913952170668781,3.406658670712659e-06,156.35679651965737
26,3.48,63.47999999999979,"[-134.5549912834, -30.160197339800003]","[-93.397010246, 101.4479365066]",0.0024037488793905663,6.899606383115042e-06,238.83897662813177
27,3.48,63.47999999999979,"[-134.5549912834, -30.160197339800003]","[-41.15798103739999, -131.6081338464]",0.0024037488793905663,6.270048245937687e-06,238.83894493272723
28,3.48,63.47999999999979,"[-47.490008563800004, 76.77141141039999]","[-90.23099648280001, -2.7418361218000022]",0.001591395591529664,7.615453618825541e-06,156.35681388559988
29,3.48,63.47999999999979,"[-47.490008563800004, 76.77141141039999]","[42.740987919000005, 79.5132475322]",0.001591395591529664,3.406658670712659e-06,156.35679651965737
30,3.48,63.47999999999979,"[-136.137998165, 21.934688974399997]","[-87.0649827196, -106.9316087502]",0.0024037491273088897,1.5462852758219015e-06,238.83895630140591
31,3.48,63.47999999999979,"[-136.137998165, 21.934688974399997]","[-49.07301544539999, 128.8662977246]",0.0024037491273088897,7.24337900237515e-06,238.83897745548933
32,3.48,63.47999999999979,"[93.397010246, -101.4479365066]","[134.5549912834, 30.160197339800003]",0.0024241385561343384,6.899606383115042e-06,238.83897662813177
33,3.48,63.47999999999979,"[93.397010246, -101.4479365066]","[-41.15798103739999, -131.6081338464]",0.0024241385561343384,6.295581371773551e-07,238.8389585076929
34,3.48,63.47999999999979,"[-87.0649827196, -106.9316087502]","[-136.137998165, 21.934688974399997]",0.002424137900604503,1.5462852758219015e-06,238.83895630140591
35,3.48,63.47999999999979,"[-87.0649827196, -106.9316087502]","[49.07301544539999, -128.8662977246]",0.002424137900604503,5.697093733658676e-06,238.83894631165668
36,3.48,63.47999999999979,"[87.0649827196, 106.9316087502]","[136.137998165, -21.934688974399997]",0.002424137900604503,1.5462852758219015e-06,238.83895630140591
37,3.48,63.47999999999979,"[87.0649827196, 106.9316087502]","[-49.07301544539999, 128.8662977246]",0.002424137900604503,5.697093733658676e-06,238.83894631165668
38,3.48,63.47999999999979,"[-93.397010246, 101.4479365066]","[-134.5549912834, -30.160197339800003]",0.0024241385561343384,6.899606383115042e-06,238.83897662813177
39,3.48,63.47999999999979,"[-93.397010246, 101.4479365066]","[41.15798103739999, 131.6081338464]",0.0024241385561343384,6.295581371773551e-07,238.8389585076929
40,3.48,63.47999999999979,"[49.07301544539999, -128.8662977246]","[136.137998165, -21.934688974399997]",0.00243629006295617,7.24337900237515e-06,238.83897745548933
41,3.48,63.47999999999979,"[49.07301544539999, -128.8662977246]","[-87.0649827196, -106.9316087502]",0.00243629006295617,5.697093733658676e-06,238.83894631165668
42,3.48,63.47999999999979,"[-41.15798103739999, -131.6081338464]","[-134.5549912834, -30.160197339800003]",0.0024362896553012823,6.270048245937687e-06,238.83894493272723
43,3.48,63.47999999999979,"[-41.15798103739999, -131.6081338464]","[93.397010246, -101.4479365066]",0.0024362896553012823,6.295581371773551e-07,238.8389585076929
44,3.48,63.47999999999979,"[41.15798103739999, 131.6081338464]","[134.5549912834, 30.160197339800003]",0.0024362896553012823,6.270048245937687e-06,238.83894493272723
45,3.48,63.47999999999979,"[41.15798103739999, 131.6081338464]","[-93.397010246, 101.4479365066]",0.0024362896553012823,6.295581371773551e-07,238.8389585076929
46,3.48,63.47999999999979,"[-49.07301544539999, 128.8662977246]","[-136.137998165, 21.934688974399997]",0.00243629006295617,7.24337900237515e-06,238.83897745548933
47,3.48,63.47999999999979,"[-49.07301544539999, 128.8662977246]","[87.0649827196, 106.9316087502]",0.00243629006295617,5.697093733658676e-06,238.83894631165668
48,3.89,18.38999999999995,"[894.3949895661999, -156.28465894260003]","[582.5438869142001, 696.4263749372]",0.002158114183646346,1.3478809677280879e-06,1572.6097793848216
49,3.89,18.38999999999995,"[894.3949895661999, -156.28465894260003]","[311.851102652, -852.7110338798]",0.002158114183646346,7.1773719056977825e-06,1572.6099144816023
50,3.89,18.38999999999995,"[-894.3949895661999, 156.28465894260003]","[-582.5438869142001, -696.4263749372]",0.002158114183646346,1.3478809677280879e-06,1572.6097793848216
51,3.89,18.38999999999995,"[-894.3949895661999, 156.28465894260003]","[-311.851102652, 852.7110338798]",0.002158114183646346,7.1773719056977825e-06,1572.6099144816023
52,3.89,18.38999999999995,"[-582.5438869142001, -696.4263749372]","[-894.3949895661999, 156.28465894260003]",0.002082727949637819,1.3478809677280879e-06,1572.6097793848216
53,3.89,18.38999999999995,"[-582.5438869142001, -696.4263749372]","[311.851102652, -852.7110338798]",0.002082727949637819,5.829490937969695e-06,1572.6097083662785
54,3.89,18.38999999999995,"[582.5438869142001, 696.4263749372]","[894.3949895661999, -156.28465894260003]",0.002082727949637819,1.3478809677280879e-06,1572.6097793848216
55,3.89,18.38999999999995,"[582.5438869142001, 696.4263749372]","[-311.851102652, 852.7110338798]",0.002082727949637819,5.829490937969695e-06,1572.6097083662785
56,3.89,18.38999999999995,"[311.851102652, -852.7110338798]","[894.3949895661999, -156.28465894260003]",0.002111312078154817,7.1773719056977825e-06,1572.6099144816023
57,3.89,18.38999999999995,"[311.851102652, -852.7110338798]","[-582.5438869142001, -696.4263749372]",0.002111312078154817,5.829490937969695e-06,1572.6097083662785
